t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
182.64,6,4.424242424,2.190434428,0.08988771967,0.8095710209,0.1860182475,0.00511981238,0.08695215385,0.9821522834,0.2697583715
182.64,6,4.472222222,2.190434205,0.0898876204,0.8095711524,0.1860182648,0.005119818226,0.08695215397,0.9821522833,0.2697688096
182.64,6,4.52020202,2.190434001,0.08988752735,0.8095712735,0.1860182806,0.005119823681,0.08695215408,0.9821522833,0.2697790697
182.64,6,4.568181818,2.190433818,0.08988744105,0.809571384,0.186018295,0.005119828733,0.08695215419,0.9821522832,0.2697891198
182.64,6,4.616161616,2.190433654,0.089887362,0.8095714835,0.186018308,0.005119833371,0.0869521543,0.9821522832,0.2697989251
182.64,6,4.664141414,2.19043351,0.08988729068,0.8095715717,0.1860183195,0.005119837592,0.08695215439,0.9821522831,0.2698084463
182.64,6,4.712121212,2.190433384,0.0898872275,0.8095716484,0.1860183295,0.005119841404,0.08695215449,0.9821522831,0.2698176383
182.64,6,4.76010101,2.190433277,0.08988717281,0.8095717133,0.1860183381,0.005119844835,0.08695215457,0.9821522831,0.2698264562
182.64,6,4.808080808,2.190433188,0.08988712693,0.8095717667,0.1860183452,0.005119847956,0.08695215465,0.982152283,0.2698348538
182.64,6,4.856060606,2.190433116,0.08988709008,0.8095718087,0.1860183509,0.005119850615,0.08695215472,0.982152283,0.2698427082
182.64,6,4.904040404,2.190433066,0.0898870624,0.8095718415,0.1860183551,0.005119850514,0.08695215478,0.982152283,0.2698504003
182.64,6,4.952020202,2.190433126,0.08988704398,0.8095723325,0.186018358,0.005119823212,0.08695215481,0.982152283,0.2698641459
182.64,6,5,2.190432944,0.08988703479,0.8095715011,0.1860183589,0.00511987649,0.08695215454,0.982152283,0.27
365.28,12,0.25,2.346769821,0.08906551158,0.494757046,0.03435130329,0.003264464947,0.08545652072,0.9646537125,0.2693762518
365.28,12,0.297979798,2.346734644,0.08906550776,0.4947567782,0.03435130402,0.003264467812,0.08545651338,0.9646536676,0.269375758
